Day,Revenue
1,0
2,0.000793191
3,0.825541786
4,0.32033228
5,1.082554085
6,0.107653784
7,0.493901361
8,0.376698452
9,0.304074848
10,0.591747849
11,0.731018901
12,1.111586215
13,0.960902689
14,0.964013419
15,0.979731886
16,1.085546892
17,1.262549787
18,1.331183307
19,1.411429732
20,1.709116779
21,1.735783527
22,1.760959886
23,2.558601513
24,1.48420495
25,2.089944633
26,2.840568572
27,2.162204307
28,3.113269737
29,2.746580938
30,3.079242819
31,2.647838543
32,3.118230798
33,2.442888497
34,3.042407809
35,3.012894439
36,3.290825745
37,3.274029416
38,3.586805202
39,3.170426377
40,3.572077947
41,2.693130469
42,2.399656142
43,2.433776379
44,2.593848576
45,3.323496491
46,2.951387252
47,3.216948781
48,2.877026963
49,3.057523831
50,2.858495329
51,2.533082553
52,3.223959721
53,2.973617615
54,3.360834071
55,2.31040157
56,1.843596513
57,1.631977575
58,1.644604449
59,1.497246827
60,1.267859555
61,1.587253694
62,2.131085418
63,1.995083459
64,2.330776602
65,1.742724907
66,2.588660848
67,1.505169543
68,2.226315816
69,2.973069578
70,2.72388059
71,2.964093274
72,3.88820192
73,3.938590458
74,5.138308366
75,5.482323172
76,6.133334991
77,6.366939393
78,6.434758029
79,6.102308899
80,6.236527145
81,6.815921859
82,7.07286465
83,6.274130876
84,7.375977982
85,6.916245052
86,7.408050282
87,7.863842943
88,6.783895049
89,7.583081086
90,7.763779393
91,7.344577122
92,7.982311471
93,6.946042709
94,7.495289393
95,7.450862838
96,6.82734429
97,7.095401048
98,6.322858273
99,6.453783819
100,6.90142039
101,6.364222316
102,6.487956156
103,6.055526889
104,6.416777674
105,6.695885552
106,6.381637205
107,6.151061938
108,6.604086168
109,7.181114215
110,7.946744172
111,8.034009599
112,8.034351705
113,7.944531429
114,7.573324241
115,7.164514393
116,6.309727531
117,7.418626769
118,7.00182315
119,8.029547488
120,7.330337859
121,7.606007772
122,7.110366293
123,7.131337879
124,6.76488602
125,7.260526894
126,7.544141343
127,7.33093608
128,7.568258573
129,7.486801358
130,8.117012517
131,7.415766826
132,7.780389211
133,7.830950713
134,7.92206928
135,7.76971031
136,8.176501818
137,7.753128355
138,7.44780328
139,6.606752799
140,7.60677813
141,7.157498503
142,7.218478047
143,7.485049457
144,7.152312945
145,7.506441261
146,7.029261517
147,7.06516091
148,6.585496947
149,6.108246159
150,5.913673164
151,6.844251596
152,5.936896508
153,7.146617054
154,5.698388374
155,6.41938589
156,5.351951701
